qid,qidFull
RS4_13,"When, if ever, did you last purchase from each of the following grocery stores? --- Albertsons"
RS4_14,"When, if ever, did you last purchase from each of the following grocery stores? --- Sam's Club"
RS5_1,How likely are you to purchase groceries from the following brands in the next year? --- The Fresh Market
RS5_2,How likely are you to purchase groceries from the following brands in the next year? --- MOM's Organic Market
RS5_3,How likely are you to purchase groceries from the following brands in the next year? --- Whole Foods Market
RS5_4,How likely are you to purchase groceries from the following brands in the next year? --- Sprouts Farmers Market
RS5_5,How likely are you to purchase groceries from the following brands in the next year? --- Trader Joe's
RS5_6,How likely are you to purchase groceries from the following brands in the next year? --- Publix Super Markets
RS5_7,How likely are you to purchase groceries from the following brands in the next year? --- Wegmans
RS5_8,How likely are you to purchase groceries from the following brands in the next year? --- Walmart
RS5_9,How likely are you to purchase groceries from the following brands in the next year? --- Target
RS5_10,How likely are you to purchase groceries from the following brands in the next year? --- Aldi
RS5_11,How likely are you to purchase groceries from the following brands in the next year? --- Costco
RS5_12,How likely are you to purchase groceries from the following brands in the next year? --- Kroger
RS5_13,How likely are you to purchase groceries from the following brands in the next year? --- Albertsons
RS5_14,How likely are you to purchase groceries from the following brands in the next year? --- Sam's Club
RS7a,"How much do you feel connected — or disconnected — from The Fresh Market as a brand? Don't overthink it, just indicate which representation feels right."
RS7b,"How much do you feel connected — or disconnected — from Mom's Organic Market as a brand? Don't overthink it, just indicate which representation feels right."
RS7c,"How much do you feel connected — or disconnected — from Whole Foods Market as a brand? Don't overthink it, just indicate which representation feels right."
RS7d,"How much do you feel connected — or disconnected — from Sprouts Farmers Market as a brand? Don't overthink it, just indicate which representation feels right."
RS7e,"How much do you feel connected — or disconnected — from Trader Joe's as a brand? Don't overthink it, just indicate which representation feels right."
RS7f,"How much do you feel connected — or disconnected — from Publix as a brand? Don't overthink it, just indicate which representation feels right."
RS7g,"How much do you feel connected — or disconnected — from Wegmans as a brand? Don't overthink it, just indicate which representation feels right."
RS7h,"How much do you feel connected — or disconnected — from Walmart as a brand? Don't overthink it, just indicate which representation feels right."
RS7i,"How much do you feel connected — or disconnected — from Target as a brand? Don't overthink it, just indicate which representation feels right."
RS7j,"How much do you feel connected — or disconnected — from Aldi as a brand? Don't overthink it, just indicate which representation feels right."
RS7k,"How much do you feel connected — or disconnected — from Costco as a brand? Don't overthink it, just indicate which representation feels right."
RS7l,"How much do you feel connected — or disconnected — from Kroger as a brand? Don't overthink it, just indicate which representation feels right."
RS7m,"How much do you feel connected — or disconnected — from Albertsons as a brand? Don't overthink it, just indicate which representation feels right."
RS7n,"How much do you feel connected — or disconnected — from Sam's Club as a brand? Don't overthink it, just indicate which representation feels right."
RS8_1_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- The Fresh Market"
RS8_1_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- Mom's Organic Market"
RS8_1_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- Whole Foods Market"
RS8_1_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- Sprouts Farmers Market"
RS8_1_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- Trader Joe's"
RS8_1_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- Publix"
RS8_1_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- Wegmans"
RS8_1_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- Walmart"
RS8_1_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- Target"
RS8_1_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- Aldi"
RS8_1_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- Costco"
RS8_1_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- Kroger"
RS8_1_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- Albertsons"
RS8_1_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- Sam's Club"
RS8_1_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Doing my regular weekly grocery shopping --- None of these"
RS8_2_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- The Fresh Market"
RS8_2_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- Mom's Organic Market"
RS8_2_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- Whole Foods Market"
RS8_2_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- Sprouts Farmers Market"
RS8_2_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- Trader Joe's"
RS8_2_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- Publix"
RS8_2_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- Wegmans"
RS8_2_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- Walmart"
RS8_2_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- Target"
RS8_2_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- Aldi"
RS8_2_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- Costco"
RS8_2_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- Kroger"
RS8_2_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- Albertsons"
RS8_2_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- Sam's Club"
RS8_2_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Hosting guests or preparing for a special meal --- None of these"
RS8_3_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- The Fresh Market"
RS8_3_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- Mom's Organic Market"
RS8_3_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- Whole Foods Market"
RS8_3_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- Sprouts Farmers Market"
RS8_3_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- Trader Joe's"
RS8_3_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- Publix"
RS8_3_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- Wegmans"
RS8_3_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- Walmart"
RS8_3_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- Target"
RS8_3_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- Aldi"
RS8_3_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- Costco"
RS8_3_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- Kroger"
RS8_3_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- Albertsons"
RS8_3_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- Sam's Club"
RS8_3_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Planning meals and realizing I'm low on supplies --- None of these"
RS8_4_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- The Fresh Market"
RS8_4_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- Mom's Organic Market"
RS8_4_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- Whole Foods Market"
RS8_4_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- Sprouts Farmers Market"
RS8_4_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- Trader Joe's"
RS8_4_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- Publix"
RS8_4_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- Wegmans"
RS8_4_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- Walmart"
RS8_4_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- Target"
RS8_4_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- Aldi"
RS8_4_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- Costco"
RS8_4_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- Kroger"
RS8_4_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- Albertsons"
RS8_4_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- Sam's Club"
RS8_4_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for healthy or better-quality food options --- None of these"
RS8_5_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- The Fresh Market"
RS8_5_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- Mom's Organic Market"
RS8_5_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- Whole Foods Market"
RS8_5_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- Sprouts Farmers Market"
RS8_5_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- Trader Joe's"
RS8_5_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- Publix"
RS8_5_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- Wegmans"
RS8_5_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- Walmart"
RS8_5_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- Target"
RS8_5_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- Aldi"
RS8_5_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- Costco"
RS8_5_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- Kroger"
RS8_5_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- Albertsons"
RS8_5_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- Sam's Club"
RS8_5_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying ready-to-eat meals to save time --- None of these"
RS8_6_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- The Fresh Market"
RS8_6_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- Mom's Organic Market"
RS8_6_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- Whole Foods Market"
RS8_6_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- Sprouts Farmers Market"
RS8_6_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- Trader Joe's"
RS8_6_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- Publix"
RS8_6_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- Wegmans"
RS8_6_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- Walmart"
RS8_6_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- Target"
RS8_6_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- Aldi"
RS8_6_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- Costco"
RS8_6_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- Kroger"
RS8_6_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- Albertsons"
RS8_6_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- Sam's Club"
RS8_6_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Trying to save money on groceries --- None of these"
RS8_7_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- The Fresh Market"
RS8_7_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- Mom's Organic Market"
RS8_7_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- Whole Foods Market"
RS8_7_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- Sprouts Farmers Market"
RS8_7_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- Trader Joe's"
RS8_7_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- Publix"
RS8_7_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- Wegmans"
RS8_7_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- Walmart"
RS8_7_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- Target"
RS8_7_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- Aldi"
RS8_7_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- Costco"
RS8_7_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- Kroger"
RS8_7_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- Albertsons"
RS8_7_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- Sam's Club"
RS8_7_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Wanting to try new or seasonal products --- None of these"
RS8_8_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- The Fresh Market"
RS8_8_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Mom's Organic Market"
RS8_8_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Whole Foods Market"
RS8_8_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Sprouts Farmers Market"
RS8_8_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Trader Joe's"
RS8_8_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Publix"
RS8_8_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Wegmans"
RS8_8_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Walmart"
RS8_8_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Target"
RS8_8_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Aldi"
RS8_8_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Costco"
RS8_8_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Kroger"
RS8_8_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Albertsons"
RS8_8_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Sam's Club"
RS8_8_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- None of these"
RS8_9_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- The Fresh Market"
RS8_9_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Mom's Organic Market"
RS8_9_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Whole Foods Market"
RS8_9_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Sprouts Farmers Market"
